DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
26.04686,28.718506,5.01561,78.633018,1
26.04686,28.718506,4.98436,78.633018,1
26.04686,28.718506,4.999985,78.633018,1
26.04686,28.718506,4.999985,78.633018,1
26.04686,28.718506,4.937492,79.649162,1
27.046867,28.718506,4.999985,79.649162,1
25.781235,27.687256,4.999985,78.611961,1
25.781235,27.702881,4.953117,78.611961,1
25.781235,28.702881,5.01561,78.611961,1
25.906242,28.702881,4.953117,78.611961,1
25.906242,28.702881,4.953117,78.611961,1
26.98436,28.702881,4.98436,79.612503,1
26.98436,28.702881,5.562492,79.612503,1
25.82811,28.655998,4.98436,79.612503,1
25.843735,28.655998,4.999985,78.569107,1
25.843735,28.655998,4.937492,78.569107,1
25.906242,28.655998,4.937492,78.569107,1
27.015602,28.655998,4.98436,79.575699,1
26.10936,28.905998,5.312485,79.575699,1
26.10936,28.905998,5.046867,78.558006,1
26.10936,28.905998,4.953117,78.558006,1
26.10936,28.905998,4.953117,78.558006,1
26.10936,28.905998,4.968742,79.570892,1
26.187485,28.905998,4.968742,79.570892,1
26.29686,28.905998,4.999985,79.570892,1
26.29686,28.905998,5.062492,78.518211,1
26.29686,28.905998,4.953117,78.518211,1
26.29686,28.905998,4.968742,78.518211,1
26.29686,28.905998,4.968742,79.520897,1
26.656242,28.296631,5.01561,79.520897,1
26.656242,28.265373,4.953117,79.520897,1
25.656235,28.265373,4.953117,78.506371,1
26.687485,28.265373,4.953117,78.506371,1
26.687485,28.265373,4.999985,79.521523,1
26.687485,28.265373,4.999985,79.521523,1
26.687485,29.296631,4.999985,79.521523,1
26.718735,28.281006,5.312485,79.521523,1
26.48436,28.281006,4.968742,78.444702,1
26.48436,28.281006,4.937492,78.444702,1
26.48436,28.281006,4.953117,79.447273,1
26.48436,28.281006,4.999985,79.447273,1
26.531235,29.109131,5.20311,79.447273,1
26.437492,28.077888,4.98436,78.433548,1
26.437492,28.077888,4.953117,78.433548,1
26.437492,28.077888,5.031235,79.446365,1
26.04686,28.937256,5.01561,79.446365,1
26.04686,28.937256,4.968742,78.397423,1
26.04686,27.874756,4.999985,78.397423,1
26.04686,28.890381,4.92186,78.397423,1
27.046867,28.890381,4.92186,79.406372,1
26.04686,28.671623,4.968742,79.406372,1
26.04686,28.671623,4.953117,78.349609,1
26.04686,28.671623,4.953117,78.349609,1
26.04686,28.671623,5.01561,78.349609,1
26.04686,28.671623,5.01561,79.360123,1
26.093727,28.406006,4.968742,79.360123,1
26.093727,28.406006,5.01561,78.28611,1
26.093727,28.406006,4.953117,78.28611,1
26.093727,28.406006,4.98436,78.28611,1
26.093727,28.406006,4.953117,79.303757,1
26.187485,28.390381,5.281235,79.303757,1
26.187485,28.390381,4.92186,78.271149,1
26.187485,28.390381,4.953117,78.271149,1
26.187485,28.390381,4.953117,79.273018,1
26.187485,28.390381,4.98436,79.273018,1
26.48436,28.640373,5.20311,79.273018,1
25.437485,28.640373,4.98436,78.27021,1
26.437492,28.640373,4.953117,78.27021,1
26.437492,28.640373,4.953117,79.28614,1
26.328117,28.905998,5.01561,79.28614,1
26.328117,28.905998,4.98436,78.220818,1
26.328117,27.890381,4.999985,78.220818,1
26.328117,27.890381,4.953117,78.220818,1
26.328117,28.937256,4.953117,79.221901,1
26.203102,29.046631,4.937492,79.221901,1
26.203102,29.046631,4.98436,78.173775,1
26.203102,29.046631,4.953117,78.173775,1
26.203102,29.046631,4.953117,79.175522,1
26.421867,28.999756,5.281235,79.175522,1
25.374985,28.999756,4.98436,79.175522,1
26.406235,28.999756,4.999985,78.139183,1
26.421867,28.999756,4.999985,78.139183,1
26.421867,29.155998,4.999985,78.139183,1
25.421867,29.155998,4.999985,78.139183,1
25.468735,29.155998,5.078117,78.139183,1
26.48436,29.155998,5.10936,79.139893,1
26.593735,29.109131,5.296867,79.139893,1
26.593735,29.109131,5.031235,79.139893,1
25.734367,29.109131,4.890617,79.139893,1
