DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
26.374985,28.530998,5.031235,0,0
26.406235,28.530998,4.98436,0,0
26.406235,28.530998,5.01561,0,0
26.406235,28.530998,5.046867,0,0
25.906242,28.343506,5.01561,0,0
25.906242,28.343506,4.968742,0,0
25.906242,28.343506,5.031235,0,0
25.906242,28.343506,4.999985,0,0
26.95311,28.343506,5.281235,0,0
25.859367,28.343506,4.999985,0,0
25.859367,28.343506,4.999985,0,0
25.859367,28.281006,4.98436,0,0
25.859367,28.281006,4.953117,0,0
25.92186,28.281006,4.968742,0,0
25.874985,28.281006,5.218735,0,0
25.874985,28.281006,4.999985,0,0
25.874985,28.281006,4.98436,0,0
25.874985,28.281006,4.999985,0,0
25.874985,28.281006,5.01561,0,0
25.874985,28.281006,4.968742,0,0
25.874985,28.281006,4.968742,0,0
25.874985,28.281006,4.968742,0,0
25.843735,28.281006,4.953117,0,0
25.843735,28.281006,5.046867,0,0
25.843735,28.281006,4.953117,0,0
25.843735,28.281006,4.999985,0,0
25.843735,28.281006,4.98436,0,0
25.843735,28.281006,5.281235,0,0
25.843735,28.281006,4.999985,0,0
25.843735,28.281006,4.968742,0,0
26.92186,28.281006,5.01561,0,0
25.812485,28.281006,4.953117,0,0
25.812485,28.281006,5.01561,0,0
25.812485,28.281006,4.953117,0,0
25.812485,28.281006,4.98436,0,0
25.812485,28.281006,4.999985,0,0
25.79686,28.281006,4.968742,0,0
25.79686,28.281006,4.999985,0,0
25.781235,28.281006,5.01561,0,0
25.781235,28.281006,5.01561,0,0
25.76561,28.281006,5.031235,0,0
25.76561,28.281006,4.70311,0,0
26.874985,28.281006,4.999985,0,0
25.874985,28.281006,5.01561,0,0
25.874985,28.281006,5.031235,0,0
25.874985,28.281006,4.999985,0,0
25.874985,28.281006,4.999985,0,0
25.874985,28.281006,4.999985,0,0
25.874985,28.281006,5.01561,0,0
25.874985,28.281006,4.98436,0,0
25.874985,28.281006,4.98436,0,0
26.968735,28.281006,5.01561,0,0
25.92186,28.281006,5.078117,0,0
25.92186,27.265388,4.98436,0,0
25.92186,28.327873,4.70311,0,0
27.015602,28.327873,4.953117,0,0
29.656242,32.187248,6.921867,86.354965,1
26.312477,27.062256,5.296867,77.171471,1
25.296867,27.062256,4.968742,76.098122,1
25.296867,27.062256,4.953117,76.098122,1
25.296867,27.062256,4.968742,76.098122,1
25.296867,27.062256,5.01561,76.098122,1
25.296867,27.062256,5.01561,76.098122,1
25.296867,27.062256,4.999985,76.098122,1
26.312477,27.062256,5.046867,76.098122,1
26.312477,27.062256,5.046867,76.098122,1
25.281227,27.062256,5.031235,76.098122,1
25.281227,27.062256,5.124985,76.098122,1
25.296867,27.062256,4.968742,76.098122,1
25.296867,27.062256,5.281235,76.098122,1
