DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
25.26561,25.343513,4.999985,73.252556,1
25.26561,26.374756,4.999985,73.252556,1
25.26561,26.374756,4.968742,73.252556,1
25.26561,26.374756,5.046867,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,4.98436,73.252556,1
25.26561,25.359138,5.046867,73.252556,1
25.26561,25.359138,5.062492,73.252556,1
25.26561,25.359138,4.98436,73.252556,1
25.26561,25.359138,5.01561,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,5.031235,73.252556,1
25.26561,25.359138,5.062492,73.252556,1
25.26561,25.359138,5.046867,73.252556,1
25.26561,25.359138,5.01561,73.252556,1
25.26561,25.359138,5.01561,73.252556,1
25.26561,25.359138,5.078117,73.252556,1
25.26561,25.359138,5.124985,73.252556,1
25.26561,25.359138,5.01561,73.252556,1
25.26561,25.359138,4.812485,73.252556,1
25.26561,25.359138,4.781242,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,5.046867,73.252556,1
25.26561,25.359138,4.968742,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,4.734367,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,5.031235,73.252556,1
25.26561,25.359138,5.046867,73.252556,1
25.26561,25.359138,5.031235,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,25.359138,5.031235,73.252556,1
25.26561,25.359138,5.046867,73.252556,1
25.26561,25.359138,5.046867,73.252556,1
25.26561,25.359138,5.031235,73.252556,1
25.26561,25.359138,5.062492,73.252556,1
25.26561,25.359138,4.999985,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,4.98436,73.252556,1
25.26561,26.374756,5.062492,73.252556,1
25.26561,26.374756,4.98436,73.252556,1
25.26561,26.374756,4.999985,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,5.01561,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,4.999985,73.252556,1
25.26561,26.374756,4.999985,73.252556,1
25.26561,26.374756,5.046867,73.252556,1
25.26561,26.374756,4.98436,73.252556,1
25.26561,26.374756,4.968742,73.252556,1
25.26561,26.374756,4.79686,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,5.046867,73.252556,1
25.26561,26.374756,5.01561,73.252556,1
25.26561,26.374756,5.031235,73.252556,1
25.26561,26.374756,4.999985,74.254349,1
25.26561,26.374756,4.937492,74.254349,1
25.35936,26.374756,4.812485,75.335213,1
26.437492,26.374756,5.031235,75.335213,1
25.390617,27.234123,5.046867,75.335213,1
25.437485,27.234123,5.078117,75.335213,1
25.468735,27.234123,5.046867,75.335213,1
25.437485,27.234123,4.812485,75.335213,1
25.437485,27.234123,5.078117,75.335213,1
25.437485,26.218513,5.078117,74.334663,1
25.437485,26.218513,5.031235,74.334663,1
25.437485,26.218513,5.031235,74.334663,1
25.437485,26.218513,5.01561,74.334663,1
25.437485,26.218513,5.046867,74.334663,1
25.437485,26.218513,4.937492,74.334663,1
25.437485,26.218513,5.046867,74.334663,1
25.437485,26.218513,5.078117,74.334663,1
25.437485,26.218513,5.031235,74.334663,1
25.437485,26.218513,5.078117,74.334663,1
25.437485,26.218513,5.01561,74.334663,1
25.437485,26.218513,5.062492,74.334663,1
25.437485,26.218513,5.046867,74.334663,1
25.437485,26.218513,5.046867,74.334663,1
25.437485,26.218513,5.031235,74.334663,1
25.437485,26.218513,4.812485,74.334663,1
25.437485,26.218513,5.062492,74.334663,1
25.437485,26.218513,4.749992,74.334663,1
25.437485,26.218513,5.01561,74.334663,1
25.437485,26.218513,4.749992,74.334663,1
25.437485,26.218513,5.187492,74.334663,1
25.437485,26.218513,5.031235,74.334663,1
26.26561,26.406006,5.046867,75.392815,1
26.26561,26.406006,5.17186,75.392815,1
26.234367,26.406006,5.062492,74.377464,1
26.234367,26.406006,5.062492,74.377464,1
26.234367,26.406006,5.062492,75.387077,1
26.234367,26.406006,5.062492,75.387077,1
26.124992,26.406006,5.046867,74.342926,1
25.10936,26.406006,4.781242,74.342926,1
25.10936,26.406006,5.046867,74.342926,1
25.10936,26.406006,5.062492,74.342926,1
25.10936,26.406006,5.078117,73.33403,1
25.10936,26.406006,5.031235,73.33403,1
25.10936,26.406006,5.031235,73.33403,1
25.14061,26.406006,4.749992,73.33403,1
25.14061,26.406006,5.046867,73.33403,1
25.14061,26.406006,4.76561,73.33403,1
25.14061,26.406006,5.031235,73.33403,1
25.14061,26.406006,5.046867,73.33403,1
25.14061,26.406006,5.046867,73.33403,1
25.14061,26.406006,5.078117,73.33403,1
25.14061,26.406006,5.046867,73.33403,1
25.14061,26.406006,5.046867,73.33403,1
26.14061,26.406006,5.046867,73.33403,1
25.26561,26.406006,5.01561,73.33403,1
25.26561,26.406006,4.79686,73.33403,1
