DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.906239,0,0
1.015614,0.874828,0.92186,0,0
1.015614,0.874828,0.92186,0,0
1.015614,0.874828,0.92186,0,0
1.015614,0.874828,1.124989,0,0
1.015614,0.874828,1.140621,0,0
1.015614,0.874828,1.140621,0,0
1.015614,0.874828,1.140621,0,0
1.015614,0.874828,0.92186,0,0
1.015614,0.874828,1.124989,0,0
1.015614,0.874828,1.124989,0,0
1.015614,0.874828,1.124989,0,0
1.015614,0.874828,1.140621,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,1.124989,0,0
1.015614,0.874828,1.124989,0,0
1.015614,0.874828,1.140621,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,0.937492,0,0
1.015614,0.874828,1.140621,0,0
23.937485,19.765404,4.015617,0,0
25.046867,12.374802,4.953117,0,0
24.015617,12.374802,5.124985,0,0
24.187485,12.374802,5.046867,0,0
24.984367,12.374802,4.999985,0,0
24.984367,12.374802,5.062492,0,0
25.07811,13.374802,4.999985,0,0
23.796867,13.374802,4.999985,0,0
23.85936,13.374802,5.01561,0,0
24.89061,13.374802,4.968742,0,0
24.89061,13.374802,5.062492,0,0
24.92186,13.374802,4.953117,0,0
24.92186,13.374802,5.01561,0,0
24.92186,13.374802,5.078117,0,0
25.562485,13.718544,5.890617,79.337914,1
24.531235,12.718544,4.968742,77.143448,1
23.499985,11.702919,4.937492,76.112335,1
23.499985,11.702919,4.968742,76.112335,1
23.406235,11.702919,4.937492,75.098572,1
23.406235,11.702919,4.937492,75.098572,1
23.406235,11.702919,4.999985,75.098572,1
24.468742,11.702919,4.968742,75.098572,1
23.468742,11.702919,4.999985,75.098572,1
23.593735,11.702919,4.98436,75.098572,1
24.624985,11.702919,5.265617,75.098572,1
23.562492,11.702919,4.968742,75.098572,1
23.578117,11.702919,5.124985,75.098572,1
23.578117,11.702919,4.937492,75.098572,1
24.468742,11.702919,5.031235,75.098572,1
24.390617,11.702919,4.98436,75.098572,1
24.312485,11.702919,4.98436,75.098572,1
24.29686,11.702919,4.98436,75.098572,1
23.359367,11.702919,4.98436,75.098572,1
24.374992,11.702919,4.999985,75.098572,1
23.39061,11.702919,4.937492,75.098572,1
24.593742,11.702919,4.999985,75.098572,1
24.609367,11.702919,4.937492,75.098572,1
23.60936,11.702919,4.968742,77.322128,1
23.562492,11.702919,5.062492,77.322128,1
23.48436,13.827919,4.718735,77.322128,1
23.453117,13.827919,5.01561,77.322128,1
24.468742,13.827919,5.01561,77.322128,1
24.468742,13.827919,4.98436,77.322128,1
24.468742,13.827919,4.98436,77.322128,1
24.468742,13.827919,4.937492,77.322128,1
24.468742,13.827919,4.953117,78.330086,1
24.468742,13.827919,5.031235,78.330086,1
24.468742,13.827919,4.937492,78.330086,1
24.484367,13.827919,4.953117,78.330086,1
24.531235,13.827919,5.062492,78.330086,1
25.531242,13.827919,4.937492,78.330086,1
24.484367,13.827919,4.92186,78.330086,1
