DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
25.92186,27.843498,4.968742,78.449318,1
25.92186,27.843498,4.999985,78.449318,1
25.92186,27.843498,4.98436,78.449318,1
25.968742,27.859138,4.98436,78.449318,1
25.968742,27.859138,4.999985,77.352394,1
25.968742,27.859138,4.999985,77.352394,1
25.906242,27.937248,4.98436,77.352394,1
25.906242,27.937248,4.968742,77.352394,1
25.906242,27.937248,5.01561,77.352394,1
26.031235,28.046623,4.98436,77.352394,1
26.031235,28.046623,5.031235,77.352394,1
26.078117,28.187263,4.968742,77.352394,1
26.078117,28.187263,4.968742,77.352394,1
26.078117,28.187263,4.968742,77.352394,1
25.906242,28.265373,5.01561,77.352394,1
25.906242,28.265373,4.98436,77.352394,1
25.906242,28.265373,4.953117,77.352394,1
26.015617,28.249756,4.999985,77.352394,1
26.015617,28.249756,4.953117,77.352394,1
25.999985,28.124756,4.953117,77.352394,1
25.999985,28.124756,5.01561,77.352394,1
25.999985,28.124756,5.140617,77.352394,1
25.843735,28.062248,4.999985,77.352394,1
25.843735,28.062248,4.98436,77.352394,1
25.906242,27.812256,4.98436,77.352394,1
25.906242,27.812256,5.01561,77.352394,1
25.906242,27.812256,4.999985,77.352394,1
25.89061,28.780998,4.999985,77.352394,1
25.89061,27.749756,5.01561,77.352394,1
25.89061,27.749756,4.98436,77.352394,1
25.89061,27.687256,4.968742,77.352394,1
25.89061,27.687256,4.98436,77.352394,1
25.859367,27.952873,4.98436,77.352394,1
25.859367,27.952873,4.968742,77.352394,1
25.859367,27.952873,5.01561,77.352394,1
25.812485,27.937248,5.031235,77.352394,1
25.812485,27.937248,5.046867,77.352394,1
25.92186,28.062248,4.999985,77.352394,1
25.92186,28.062248,4.98436,77.352394,1
25.92186,28.062248,5.046867,77.352394,1
25.95311,28.281006,4.953117,77.352394,1
25.95311,28.281006,4.999985,77.352394,1
25.95311,28.187263,5.01561,77.352394,1
25.95311,28.187263,4.98436,77.352394,1
25.95311,28.187263,5.01561,77.352394,1
25.95311,28.171631,5.343735,77.352394,1
25.95311,28.171631,5.01561,77.352394,1
25.95311,28.171631,5.01561,77.352394,1
25.95311,28.202873,5.01561,77.352394,1
25.95311,28.202873,4.999985,77.352394,1
25.95311,28.202873,4.98436,77.352394,1
25.92186,28.187263,5.031235,77.352394,1
25.92186,28.187263,5.01561,77.352394,1
25.92186,28.140381,5.031235,77.352394,1
25.92186,28.140381,4.999985,77.352394,1
25.92186,28.140381,4.953117,77.352394,1
25.92186,27.906006,5.031235,77.352394,1
25.92186,27.906006,5.046867,77.352394,1
25.92186,27.906006,4.999985,77.352394,1
25.92186,27.906006,5.031235,77.352394,1
25.92186,27.906006,5.01561,77.352394,1
25.92186,27.906006,5.01561,77.352394,1
25.82811,27.593513,5.01561,77.352394,1
25.82811,27.593513,4.98436,77.352394,1
25.82811,27.593513,5.031235,77.352394,1
25.60936,28.562248,4.999985,77.352394,1
25.60936,27.531006,4.968742,77.352394,1
25.60936,27.531006,5.031235,77.352394,1
25.60936,28.515381,5.01561,77.352394,1
25.60936,28.515381,5.031235,77.352394,1
25.82811,28.499756,4.999985,77.352394,1
25.82811,28.499756,4.968742,77.352394,1
25.82811,27.452881,4.98436,77.352394,1
