DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
25.999985,28.171631,4.98436,77.551994,1
25.999985,28.171631,5.078117,77.551994,1
26.093727,28.202873,5.01561,77.551994,1
26.093727,28.202873,4.98436,77.551994,1
26.093727,28.202873,4.999985,77.551994,1
26.124992,28.093506,4.968742,77.551994,1
26.124992,28.093506,4.999985,77.551994,1
26.124992,28.093506,4.953117,77.551994,1
26.078117,28.015381,5.01561,77.551994,1
26.078117,28.015381,4.968742,77.551994,1
26.078117,28.015381,4.98436,77.551994,1
25.874985,27.734123,4.937492,77.551994,1
25.874985,27.734123,4.968742,77.551994,1
26.890617,28.749748,5.343735,77.551994,1
25.76561,28.734131,4.999985,77.551994,1
25.76561,28.734131,5.01561,77.551994,1
25.67186,28.734131,4.999985,77.551994,1
26.64061,28.734131,4.968742,77.551994,1
25.656235,28.734131,4.937492,77.551994,1
26.656242,28.734131,4.999985,77.551994,1
25.640617,27.890381,5.249992,77.551994,1
26.765617,27.890381,5.01561,77.551994,1
26.79686,27.890381,4.999985,77.551994,1
25.79686,27.952873,5.01561,77.551994,1
25.79686,27.952873,5.01561,77.551994,1
25.79686,27.952873,4.968742,77.551994,1
25.718735,28.905998,4.999985,77.551994,1
25.718735,27.890381,4.999985,77.551994,1
25.687485,27.890381,4.953117,77.551994,1
26.593735,27.890381,5.01561,77.551994,1
25.468735,27.890381,5.10936,77.551994,1
26.51561,27.890381,4.953117,77.551994,1
26.437492,28.734131,4.999985,77.551994,1
26.437492,28.734131,4.999985,77.551994,1
26.437492,27.734123,5.01561,77.551994,1
26.437492,27.874756,4.999985,77.551994,1
26.437492,27.874756,4.92186,77.551994,1
26.437492,27.874756,4.937492,77.551994,1
26.437492,27.984131,4.98436,77.551994,1
26.437492,27.984131,4.999985,77.551994,1
26.437492,27.984131,5.01561,77.551994,1
26.29686,27.921631,4.749992,77.551994,1
26.29686,27.921631,4.999985,77.551994,1
26.249985,28.015381,5.046867,77.551994,1
26.249985,28.015381,4.968742,77.551994,1
26.249985,28.015381,4.98436,77.551994,1
26.249985,28.327873,5.01561,77.551994,1
26.249985,28.327873,4.953117,77.551994,1
26.249985,28.468506,5.296867,77.551994,1
26.249985,28.468506,4.968742,77.551994,1
26.249985,28.468506,4.98436,77.551994,1
26.249985,28.406006,5.01561,77.551994,1
26.249985,28.406006,4.953117,77.551994,1
26.249985,28.406006,4.968742,77.551994,1
26.249985,28.406006,4.968742,77.551994,1
26.249985,28.406006,5.078117,77.551994,1
26.249985,28.406006,5.01561,77.551994,1
26.249985,28.406006,5.01561,77.551994,1
26.26561,28.374756,4.999985,77.551994,1
26.26561,28.374756,4.999985,77.551994,1
26.26561,28.374756,4.749992,77.551994,1
25.984352,28.343506,5.01561,77.551994,1
25.984352,28.343506,4.98436,77.551994,1
25.984352,28.390381,5.01561,77.551994,1
25.984352,28.390381,5.01561,77.551994,1
25.984352,28.390381,4.968742,77.551994,1
25.984352,28.249756,5.062492,77.551994,1
25.984352,28.249756,4.968742,77.551994,1
25.984352,28.249756,5.01561,77.551994,1
26.015617,28.249756,5.031235,77.551994,1
26.015617,28.249756,5.01561,77.551994,1
26.015617,28.249756,4.999985,77.551994,1
26.015617,28.015381,4.999985,77.551994,1
26.015617,28.015381,5.031235,77.551994,1
26.015617,28.015381,5.281235,77.551994,1
25.92186,28.062248,4.937492,77.551994,1
25.92186,28.062248,4.999985,77.551994,1
25.92186,28.093506,5.046867,77.551994,1
25.92186,28.093506,5.01561,77.551994,1
25.92186,28.093506,5.01561,77.551994,1
25.843735,27.827873,5.031235,77.551994,1
25.843735,27.749756,4.999985,77.551994,1
25.843735,27.749756,4.749992,77.551994,1
25.843735,27.718498,5.01561,77.551994,1
25.843735,27.718498,4.98436,77.551994,1
25.843735,27.718498,5.062492,77.551994,1
25.843735,27.718498,5.01561,77.551994,1
25.843735,27.718498,4.98436,77.551994,1
25.874985,28.593506,5.031235,77.551994,1
25.874985,28.593506,4.98436,77.551994,1
25.874985,28.593506,5.312485,77.551994,1
25.812485,28.421623,5.031235,77.551994,1
