DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
27.249992,27.218506,4.937492,77.029709,1
27.265617,27.218506,4.953117,77.029709,1
26.14061,27.156013,4.98436,77.029709,1
27.093735,27.156013,5.296867,77.029709,1
26.015617,27.156013,4.953117,75.963608,1
26.015617,27.156013,4.98436,75.963608,1
25.95311,27.156013,4.953117,75.963608,1
26.999992,27.156013,4.937492,75.963608,1
26.999992,27.156013,4.937492,76.966476,1
25.999985,27.156013,4.937492,76.966476,1
26.999992,27.156013,4.999985,76.966476,1
26.999992,27.156013,4.953117,76.966476,1
26.999992,27.156013,4.968742,76.966476,1
27.062485,27.171631,4.98436,76.966476,1
26.031235,27.171631,4.953117,75.913452,1
26.031235,27.171631,5.10936,75.913452,1
26.031235,27.171631,4.953117,75.913452,1
26.093727,27.171631,4.98436,75.913452,1
26.093727,27.171631,4.98436,75.913452,1
27.109367,27.171631,4.98436,76.924988,1
27.109367,27.171631,5.01561,76.924988,1
26.124992,27.171631,4.98436,76.924988,1
26.124992,27.171631,5.01561,75.815292,1
26.124992,27.171631,5.312485,75.815292,1
26.124992,27.171631,4.92186,75.815292,1
26.093727,27.171631,4.999985,75.815292,1
26.093727,27.171631,4.999985,76.890099,1
26.156235,26.984131,4.98436,76.890099,1
26.156235,26.984131,4.999985,76.890099,1
26.124992,27.093506,5.01561,76.890099,1
26.124992,27.093506,4.968742,75.800125,1
26.124992,27.093506,4.968742,75.800125,1
26.124992,27.093506,4.968742,75.800125,1
26.124992,27.093506,4.999985,75.800125,1
26.124992,27.093506,5.031235,76.810074,1
27.140617,27.093506,4.98436,76.810074,1
27.109367,27.093506,4.999985,76.810074,1
27.109367,27.093506,4.968742,76.810074,1
27.109367,27.093506,4.999985,76.810074,1
25.984352,27.202881,4.999985,76.810074,1
26.04686,27.202881,5.01561,76.810074,1
26.04686,27.202881,4.999985,75.771286,1
26.04686,26.296638,4.968742,75.771286,1
26.04686,27.202881,4.999985,75.771286,1
26.04686,27.202881,4.98436,75.771286,1
26.04686,27.202881,4.999985,75.771286,1
26.234367,27.327881,4.953117,75.771286,1
26.234367,27.327881,4.734367,75.771286,1
26.328117,27.421631,4.98436,75.771286,1
26.328117,26.343513,4.999985,75.771286,1
26.328117,26.343513,4.749992,75.771286,1
26.328117,26.343513,4.968742,75.771286,1
26.328117,26.343513,4.937492,75.771286,1
26.328117,26.343513,4.92186,75.771286,1
26.328117,26.343513,4.953117,75.771286,1
26.328117,26.343513,5.01561,75.771286,1
26.656242,26.671638,4.968742,75.771286,1
26.656242,26.671638,5.281235,75.771286,1
26.468735,26.671638,4.999985,75.771286,1
25.640617,26.671638,4.968742,75.771286,1
26.671867,26.671638,4.999985,75.771286,1
26.671867,26.671638,4.999985,75.771286,1
26.671867,26.671638,4.999985,75.771286,1
25.640617,26.765388,4.968742,75.771286,1
26.718735,26.765388,4.98436,75.771286,1
26.687485,26.765388,5.031235,75.771286,1
26.687485,26.765388,4.999985,75.771286,1
26.687485,26.765388,4.968742,75.771286,1
26.468735,26.843506,5.01561,75.771286,1
26.468735,26.843506,5.046867,75.771286,1
26.468735,26.843506,4.98436,75.771286,1
26.468735,26.843506,4.968742,75.771286,1
26.468735,26.843506,5.01561,75.771286,1
26.70311,26.968506,4.999985,75.771286,1
26.70311,26.812256,5.046867,75.771286,1
26.70311,26.812256,5.031235,75.771286,1
25.687485,26.812256,4.98436,75.771286,1
26.687485,26.812256,4.999985,75.771286,1
26.687485,26.812256,4.999985,75.771286,1
26.687485,26.812256,4.953117,75.771286,1
26.374985,26.718506,4.999985,75.771286,1
26.374985,26.718506,4.999985,75.771286,1
25.734367,26.718506,4.999985,75.771286,1
25.734367,26.718506,5.062492,75.771286,1
26.812485,26.781013,4.98436,75.771286,1
26.015617,26.843506,4.98436,75.771286,1
26.015617,26.843506,5.01561,75.771286,1
26.015617,26.843506,4.968742,75.771286,1
26.015617,26.843506,4.98436,75.771286,1
25.968742,26.984131,5.062492,75.771286,1
26.10936,27.171631,4.953117,75.771286,1
26.10936,27.171631,4.999985,75.771286,1
26.10936,27.171631,5.01561,75.771286,1
26.10936,26.093506,4.968742,75.771286,1
26.10936,27.124748,4.999985,75.771286,1
26.10936,27.124748,4.968742,75.771286,1
26.10936,27.124748,4.999985,75.771286,1
26.203102,26.781013,4.968742,75.771286,1
26.10936,26.749756,4.98436,75.771286,1
26.10936,26.749756,5.01561,75.771286,1
26.10936,26.749756,4.999985,75.771286,1
26.10936,26.749756,4.98436,75.771286,1
26.10936,26.749756,5.01561,75.771286,1
26.10936,26.749756,4.968742,75.771286,1
26.031235,26.921631,5.01561,75.771286,1
25.984352,26.984131,4.968742,75.771286,1
25.984352,26.984131,5.01561,75.771286,1
25.984352,26.984131,4.718735,75.771286,1
25.984352,26.984131,4.98436,75.771286,1
25.984352,26.984131,4.999985,75.771286,1
25.89061,26.984131,4.999985,75.771286,1
26.343742,26.984131,4.999985,75.771286,1
26.874985,26.984131,4.999985,76.776192,1
26.874985,26.984131,4.999985,76.776192,1
26.874985,26.984131,4.999985,76.776192,1
26.874985,26.984131,4.999985,76.776192,1
26.218742,27.187256,5.312485,76.776192,1
26.218742,27.187256,4.968742,75.692566,1
26.218742,26.093506,4.968742,75.692566,1
26.218742,27.265388,4.999985,75.692566,1
26.218742,26.249756,5.312485,75.692566,1
26.218742,26.249756,4.968742,75.692566,1
26.218742,26.249756,4.98436,75.692566,1
26.218742,26.249756,4.98436,75.692566,1
26.218742,27.265388,4.98436,75.692566,1
