DCHWSSF,DCHWSNF,DCHWDP,DCHWP1SP,DCHWP1S
26.328117,28.827881,4.98436,78.474823,1
26.328117,28.827881,4.999985,78.474823,1
26.328117,28.827881,4.937492,78.474823,1
26.593735,28.859123,5.062492,78.474823,1
26.593735,28.859123,4.98436,78.474823,1
26.593735,28.859123,4.953117,78.474823,1
26.593735,28.859123,4.98436,78.474823,1
26.593735,28.859123,4.98436,78.474823,1
25.562485,28.952881,4.953117,78.474823,1
26.562492,28.984123,5.281235,78.474823,1
26.562492,28.984123,4.999985,78.474823,1
26.562492,28.984123,4.98436,78.474823,1
26.562492,28.984123,4.98436,78.474823,1
26.562492,28.984123,4.953117,78.474823,1
26.546867,29.077873,5.01561,78.474823,1
26.546867,29.077873,5.031235,78.474823,1
26.546867,28.952881,5.01561,78.474823,1
26.546867,28.952881,4.953117,78.474823,1
26.546867,28.952881,4.953117,78.474823,1
26.546867,28.952881,4.999985,78.474823,1
26.546867,28.952881,4.999985,78.474823,1
26.546867,28.952881,4.999985,78.474823,1
26.593735,29.015373,4.968742,78.474823,1
26.593735,28.999756,4.953117,78.474823,1
26.70311,28.999756,5.01561,78.474823,1
26.70311,28.999756,4.953117,78.474823,1
26.70311,28.999756,5.031235,78.474823,1
26.687485,29.093506,5.01561,78.474823,1
26.812485,29.124748,5.156242,78.474823,1
25.874985,29.124748,5.046867,78.474823,1
26.843735,29.124748,5.01561,78.474823,1
25.76561,29.124748,5.01561,78.474823,1
25.749992,29.124748,5.359367,78.474823,1
26.874985,28.968498,4.968742,78.474823,1
25.734367,28.968498,5.01561,78.474823,1
25.874985,28.937256,5.01561,78.474823,1
25.874985,28.937256,5.01561,78.474823,1
25.874985,28.937256,4.968742,78.474823,1
25.874985,28.937256,4.999985,78.474823,1
26.874985,28.937256,4.98436,78.474823,1
26.015617,28.218506,5.031235,78.474823,1
26.078117,29.234123,4.999985,78.474823,1
26.078117,28.187263,5.01561,78.474823,1
26.078117,28.187263,4.937492,78.474823,1
26.078117,28.187263,4.968742,78.474823,1
25.95311,28.281006,4.98436,78.474823,1
25.95311,28.281006,4.999985,78.474823,1
25.95311,28.281006,5.031235,78.474823,1
26.015617,28.359131,5.10936,78.474823,1
26.015617,28.359131,5.01561,78.474823,1
26.015617,28.359131,4.98436,78.474823,1
26.015617,28.359131,5.01561,78.474823,1
25.734367,28.593506,4.76561,78.474823,1
25.734367,28.593506,4.999985,78.474823,1
25.781235,28.765373,5.031235,78.474823,1
25.781235,28.765373,4.781242,78.474823,1
25.781235,28.765373,4.937492,78.474823,1
25.781235,28.765373,5.01561,78.474823,1
25.687485,28.859123,5.031235,78.474823,1
25.687485,28.859123,5.01561,78.474823,1
25.687485,28.859123,5.01561,78.474823,1
25.687485,28.859123,5.078117,78.474823,1
25.60936,28.859123,4.999985,78.474823,1
26.671867,28.859123,4.98436,78.474823,1
25.656235,28.905998,5.01561,78.474823,1
26.671867,28.905998,5.296867,78.474823,1
25.60936,28.905998,5.343735,78.474823,1
25.60936,28.905998,4.999985,78.474823,1
26.749985,28.905998,4.98436,78.474823,1
25.687485,28.905998,5.01561,78.474823,1
25.60936,28.905998,5.078117,78.474823,1
25.781235,28.843506,5.01561,78.474823,1
25.781235,28.843506,5.046867,78.474823,1
25.781235,27.843498,4.999985,78.474823,1
25.781235,28.874748,4.968742,78.474823,1
26.51561,28.530998,4.953117,78.474823,1
26.51561,29.734123,4.999985,78.474823,1
26.51561,28.671623,5.031235,78.474823,1
26.468735,28.671623,5.01561,78.474823,1
25.468735,28.780998,4.98436,78.474823,1
26.468735,28.780998,4.98436,78.474823,1
26.468735,28.780998,4.98436,78.474823,1
26.546867,28.827881,5.062492,78.474823,1
26.546867,28.827881,5.01561,78.474823,1
26.546867,28.827881,5.01561,78.474823,1
25.515617,28.796623,5.046867,78.474823,1
25.593735,28.796623,5.01561,78.474823,1
25.734367,28.796623,4.98436,78.474823,1
