A,B,C,D,E,F,G,H,I,J,DCTN240T
1,0,1,0.258317,0.522811,2260.913818,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2260.913818,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2200.146973,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2200.146973,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2240.854492,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2286.335693,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2286.335693,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2286.034424,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2286.034424,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2355.108154,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2355.108154,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2332.294678,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2332.294678,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2332.332031,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2346.37793,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2359.20459,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2359.803223,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2359.803223,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2336.833252,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2327.262695,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2311.051758,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2254.087891,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2254.087891,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2269.289307,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2296.268555,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2296.268555,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2264.279053,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2216.586426,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2207.080078,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2207.080078,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2220.038086,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2239.716553,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2261.292969,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2277.905273,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2277.905273,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2286.50708,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2291.333008,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2340.781006,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2352.199951,72.055611,51,9999,74,70.120605
1,0,1,0.258317,0.522811,2353.018555,72.055611,51,9999,74,70.120605
