A,B,C,D,E,F,G,H,I,J,DCTN240T
1,0,1,2.3e-05,0,1909.382935,70.764671,37,9999,74,70.536865
1,0,1,2.3e-05,0,1915.404785,70.764671,37,9999,74,70.536865
1,0,1,2.3e-05,0,1919.499756,70.764671,37,9999,74,70.536865
1,0,1,2.3e-05,0,1925.149902,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1936.489014,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1925.149902,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1928.900513,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1928.900513,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1928.900513,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1932.297852,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1913.529053,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1919.849609,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1919.849609,69.749359,37,9999,74,70.536865
1,0,1,2.3e-05,0,1919.849609,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1931.973145,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1923.178223,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1923.178223,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1923.178223,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1920.022461,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1920.022461,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1916.329102,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1916.329102,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1923.438843,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1923.438843,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1902.369629,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1902.369629,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1906.965942,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1924.224976,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1921.408325,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1921.408325,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1915.815796,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1915.815796,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1925.386475,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1925.386475,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1921.131592,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1921.131592,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1921.374756,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1934.343506,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1934.343506,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1934.252441,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1922.127075,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1922.127075,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1909.052734,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1909.431763,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1909.431763,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1909.431763,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1928.754639,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1929.40564,69.749359,37,9999,74,69.451233
1,0,1,2.3e-05,0,1929.40564,69.749359,37,9999,74,68.433113
1,0,1,2.3e-05,0,1924.40564,69.749359,37,9999,74,68.433113
1,0,1,2.3e-05,0,1902.262451,69.749359,37,9999,74,68.433113
1,0,1,2.3e-05,0,1903.342285,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1903.342285,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1903.342285,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1918.687988,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1890.491577,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1897.037231,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1897.037231,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1908.051147,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.696289,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.696289,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.696289,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1929.228638,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1910.417114,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1897.519897,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1897.519897,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1922.05603,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1922.05603,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1922.094116,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1922.094116,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1927.033936,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1933.789062,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1927.033936,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1918.765991,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1918.765991,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1918.765991,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1918.89563,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1918.89563,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1945.691772,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1945.691772,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1916.052734,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1899.241211,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1899.241211,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1908.231445,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1915.396484,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1915.396484,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1915.396484,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1917.165771,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1917.165771,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1911.596191,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1910.747559,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1910.747559,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1910.747559,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1905.462646,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1905.462646,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1899.421875,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1906.21875,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1908.020996,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1926.029663,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1934.502319,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.633301,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.906616,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.906616,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.906616,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1920.520508,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1920.520508,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.566406,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1932.202148,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1928.566406,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1932.202148,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1916.108521,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1924.769287,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1916.108521,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1905.767944,68.7453,37,9999,74,68.433113
1,0,1,2.3e-05,0,1899.646484,68.7453,37,9999,74,68.433113
