A,B,C,D,E,F,G,H,I,J,DCTN240T
1,0,1,2.3e-05,0,1921.952148,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1928.977661,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1921.952148,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1920.162109,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1920.162109,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1920.162109,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1912.551758,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1912.551758,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1912.551758,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1910.268066,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1909.651855,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1910.268066,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1917.169067,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1917.169067,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1908.720093,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1908.720093,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1923.375488,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1923.375488,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1923.375488,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1927.325562,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1927.325562,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1916.979492,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1916.979492,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1914.492554,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1935.900513,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1923.782715,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1935.900513,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1932.325562,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1932.325562,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1918.081543,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1918.081543,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1914.118896,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1919.599609,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1921.912598,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1926.880005,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1926.880005,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1926.800903,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1917.254883,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1917.254883,69.757797,39,9999,74,70.424362
1,0,1,2.3e-05,0,1918.664429,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1919.947754,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1919.947754,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1919.497559,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1919.497559,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1921.285889,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1921.285889,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1914.757812,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1910.420044,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1909.983765,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1909.983765,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1909.983765,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1924.488647,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1915.105591,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1915.105591,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1911.241699,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1906.939819,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1906.939819,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1907.53064,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1907.541016,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1914.272583,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1914.272583,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1924.86084,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1923.767944,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1947.479004,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1945.76416,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1945.76416,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1940.260132,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1911.145874,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1920.955811,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1920.955811,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1920.955811,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1927.313599,69.757797,39,9999,74,69.423111
1,0,1,2.3e-05,0,1927.313599,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1927.313599,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1921.078857,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1920.196045,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1921.078857,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1896.997803,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1902.737305,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1902.737305,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1902.737305,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1911.548828,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1923.483398,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1923.483398,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1925.34082,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1918.838867,68.748108,39,9999,74,69.423111
1,0,1,2.3e-05,0,1925.915039,68.748108,39,9999,74,68.42186
1,0,1,2.3e-05,0,1926.64978,68.748108,39,9999,74,68.42186
1,0,1,2.3e-05,0,1926.64978,68.748108,39,9999,74,68.42186
1,0,1,2.3e-05,0,1926.64978,68.748108,39,9999,74,68.42186
1,0,1,2.3e-05,0,1931.229614,68.748108,39,9999,74,68.42186
1,0,1,2.3e-05,0,1931.229614,68.748108,39,9999,74,68.42186
