A,B,C,D,E,F,G,H,I,J,DCTN240T
1,0,1,0.672119,0.875287,1755.623413,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1753.912476,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1756.135498,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1758.68689,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1763.909668,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1764.126709,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1764.836914,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1764.836914,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1764.836914,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1763.270264,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1763.270264,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1758.859497,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1758.859497,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1759.011108,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1759.011108,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1759.011108,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1761.716187,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1762.076904,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1763.086426,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1767.126953,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1767.126953,73.065292,50,9999,74,70.182487
1,0,1,0.672119,0.875287,1765.92627,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.92627,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.820679,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.394653,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.762207,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.762207,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.45874,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.315796,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.315796,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.315796,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1763.550537,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1763.550537,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.796387,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.597778,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.582153,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.582153,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.582153,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1759.550171,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1759.550171,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.495605,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.521851,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.495605,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1760.43042,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1758.804688,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1758.583496,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1758.804688,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.987305,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.987305,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1757.488281,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1750.421875,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1750.421875,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1758.453857,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1764.84314,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.358521,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.358521,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1763.225586,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1763.224609,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1760.138062,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.254028,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.254028,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1763.348999,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1763.348999,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.416382,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.08313,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.08313,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.08313,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.490967,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1768.490967,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.490967,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1766.887817,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.394287,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.394287,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.394287,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1758.555176,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.73584,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.73584,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.73584,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.632324,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1761.457764,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1767.600098,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.440918,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1765.440918,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1760.008789,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1757.643311,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1754.075928,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1755.657715,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1755.657715,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1759.09082,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1759.09082,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1757.626709,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1757.626709,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1757.626709,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1756.61731,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1750.14502,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1750.14502,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1755.479248,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1758.08728,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.622803,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1762.622803,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1759.350586,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1747.705811,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1739.595703,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1739.595703,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1749.203857,73.065292,50,9999,74,71.183731
1,0,1,0.672119,0.875287,1749.203857,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1739.737671,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1739.737671,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1740.937012,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1741.88623,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1743.416016,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1743.416016,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1744.409302,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1744.568359,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1744.409302,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1743.309082,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1743.309082,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1733.684082,73.065292,51,9999,74,71.183731
1,0,1,0.672119,0.875287,1733.684082,73.065292,51,9999,74,71.183731
