A,B,C,D,E,F,G,H,I,J,DCTN240T
1,0,1,0.562452,0.323719,2738.363281,70.992485,53,9999,74,70.182487
1,0,1,0.562452,0.323719,2723.714355,70.992485,53,9999,74,70.182487
1,0,1,0.562452,0.323719,2722.182129,70.992485,53,9999,74,70.182487
1,0,1,0.562452,0.323719,2722.182129,70.992485,53,9999,74,70.182487
1,0,1,0.562452,0.323719,2717.559082,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.765381,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.765381,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.765381,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.112549,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.112549,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.112549,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2708.400635,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2708.400635,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.716797,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.716797,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.604492,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.604492,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.650391,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2728.189453,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2734.220703,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2734.793945,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2734.793945,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2717.319092,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2710.235596,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2707.556152,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2707.556152,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2712.349365,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2712.421387,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2727.320068,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2727.320068,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2717.855957,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2717.855957,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2718.554932,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.668701,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.456055,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2731.162354,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2731.162354,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.669189,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.669189,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.222168,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.202637,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2728.780273,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2732.554199,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2733.695312,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2733.695312,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2722.728516,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2718.965332,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2718.182373,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2716.976074,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2704.446045,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2702.337891,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2696.951416,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2702.337891,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2711.402588,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2713.732422,70.992485,53,9999,74,71.183731
1,0,1,0.562452,0.323719,2713.732422,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2711.922119,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2710.666016,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2710.666016,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2710.666016,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.77417,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.463623,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.463623,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2722.269775,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2722.269775,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.635742,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.77832,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.674805,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.65625,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2709.113281,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.054688,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.054688,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2722.931396,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2727.505127,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2722.931396,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2728.834473,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.044434,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2713.028564,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2713.028564,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.837646,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2727.091797,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.837646,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.632324,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2715.632324,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2718.135742,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2726.827637,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2726.827637,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2721.560547,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.889893,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.889893,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.599609,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2723.052734,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.599609,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.557617,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.557617,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2728.512451,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2731.855469,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2731.855469,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.137451,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.044678,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2714.044678,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2717.227051,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2725.845703,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.828125,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.828125,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2720.828125,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2719.918945,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2723.334961,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2723.334961,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2723.334961,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2726.328369,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2707.302734,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,2665.878906,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1992.382812,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1886.503296,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1877.250122,70.992485,51.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1874.83667,70.992485,52.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1869.526123,70.992485,52.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1866.96106,70.992485,52.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1860.383545,71.996552,52.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1866.96106,71.996552,52.5,9999,74,71.183731
1,0,1,0.562452,0.323719,1860.693726,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1873.57959,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1861.475586,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1861.475586,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1858.950317,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1858.950317,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1861.108887,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1861.405762,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1861.108887,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1865.526123,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1876.510864,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1876.510864,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1873.501465,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1865.395508,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1865.395508,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1882.345703,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1884.702637,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1884.702637,71.996552,52.5,9999,74,72.190605
1,0,1,0.562452,0.323719,1884.702637,73.000603,52.5,9999,74,72.190605
