A,B,C,D,E,F,G,H,I,J,DCTN240T
1,0,1,0.562452,0.323719,1783.672852,72.049988,47,9999,74,70.18811
1,0,1,0.562452,0.323719,1783.672852,72.049988,47,9999,74,70.18811
1,0,1,0.562452,0.323719,1789.255371,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1789.255371,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1798.000732,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1799.051758,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1800.014038,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1800.014038,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1787.073608,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1787.073608,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1777.923584,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1771.357544,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1771.357544,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1775.05835,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1776.369873,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1782.380249,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1793.293701,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1798.786499,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1798.786499,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1798.786499,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1798.33313,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1797.958374,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1794.599731,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1794.599731,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1794.599731,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1797.547852,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1797.547852,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1791.18396,72.049988,46,9999,74,70.18811
1,0,1,0.562452,0.323719,1791.18396,72.049988,46,9999,74,70.18811
