A,B,C,D,E,F,G,H,I,J,DCTN240T
0,0,0,0.165894,87.222054,1764.15564,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1764.15564,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1767.844849,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1769.765747,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1783.202271,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1835.347046,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1835.347046,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1838.139771,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1833.997192,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1833.997192,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1827.464233,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1827.323608,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1827.323608,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1809.093872,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1786.646606,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1786.646606,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1780.285645,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1786.536865,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1786.536865,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1804.244629,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1827.244873,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1827.244873,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1809.906738,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1808.452515,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1809.906738,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1808.452515,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1768.859375,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1768.859375,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1769.194824,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1801.805664,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1814.52002,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1819.826172,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1819.826172,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1815.849609,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1815.849609,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1815.849609,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1815.600586,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1809.784668,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1809.784668,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1809.784668,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1810.530273,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1812.290405,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1813.714844,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1818.935303,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1818.935303,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1820.922852,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1820.922852,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1819.005005,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1817.069092,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1815.645996,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1815.645996,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1814.330444,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1810.91748,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1800.741699,71.47905,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1800.515381,70.474983,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1800.515381,70.474983,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1801.46167,70.474983,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1801.644531,70.474983,41.5,9999,74,70.435616
0,0,0,0.165894,87.222054,1801.46167,70.474983,41.5,9999,74,70.435616
